name,description,formal_name,notes,category
Keter,Crested Gecko,Correlophus ciliatus,,reptile
Clamps,Veiled Chameleon,Chamaeleo calyptratus,,reptile
Kalira,Jungle Carpet Python,Morelia spilota cheynei,,reptile
Spock,Panther Chameleon,Furcifer pardalis,,reptile
Ripley,Panther Chameleon,Furcifer pardalis,,reptile
Tick,Red-Eyed Crocodile Skink,Tribolonotus gracilis,,reptile
Tock,Red-Eyed Crocodile Skink,Tribolonotus gracilis,,reptile
Phantom,American Pit Bull Terrier,Canis familiaris,"He will eat shoes if given the chance, so shoes should be kept in the rack inside the hall closet by the front door.|If his leg is giving him trouble, he can have 1/2 of a Carprofen every 12 hours.|Phantom is allowed to free-roam while the house is empty, but the hallway gate MUST be closed before leaving the house.|The freezer is stocked with frozen feeder toys. Give one to him as needed if he is bored or needs a distraction.|The cardboard piled on top of his crate are used to make enrichment boxes. Sprinkle a few treats in a box, tape it up, and give it to him when he's on his placemat.|He is free to sleep wherever he wants to at night.|He handles thunderstorms pretty well, but in case he gets visibly worked up, he can have 1/2 of a Trazodone.|One of his favorite games is playing 'Find it!' using the little pill bottles that smell like essential oil. Just ask him to wait on his placemat, hide the pill bottles around the house, and then tell him to 'Find it!'. Make sure to reward him with treats for each bottle he successfully sniffs out.",mammal
Mist King,Automated misting system,,,equipment
Distiller,Water distiller,,,equipment
Isopods,White,Porcellio laevis,,invertebrate
Isopods,Dairy Cow,Porcellio laevis,,invertebrate
Isopods,Wild Type,Porcellio laevis,,invertebrate
Isopods,White Dwarf,Trichorhina tomentosa,,invertebrate
Isopods,Clown,Armadillidium klugii,,invertebrate
Isopods,High Yellow Spotted,Armadillidium gestroi,,invertebrate
Springtails,Tropical,Folsomia candida,,invertebrate
Springtails,Tropical,Folsomia candida,,invertebrate
Mealworms,Feeder insects,Tenebrio molitor,"Do not spray with water, as this will cause a buildup of bacteria.|Be sure to check for presence of grain mites, which will collect on the sides of the plastic bin.",invertebrate
Superworms,Feeder insects,Zophobas morio,,invertebrate
Dubia Roaches,Feeder insects,Blaptica dubia,,invertebrate
Repti Fogger,Humidifying fog machine,,"Try to keep the reservoir filled at all times. If the water does run out, it's no big deal. Its just puts a bit of strain on the unit.|Sometimes it makes an angry noise after the reservoir has been refilled. This is normal. Just let it run for a bit, and the noise should eventually stop.",equipment
